list,company,list_eng,list_km,list_lo,list_my,list_zh
รักษาแผลไฟไหม้ น้ำร้อนลวก,A,"Treatment of burns, scalds.","ការព្យាបាលការរលាក, ការរលាក។","ການປິ່ນປົວເຜົາໄຫມ້, ຮ້ອນ.",မီးလောင်ခြင်း၊ မီးလောင်ခြင်းကို ကုသခြင်း။,烧伤、烫伤的治疗。
รักษาผิวหนังอักเสบ นูนแข็ง,A,"Treatment of dermatitis, hard bulges.","ការព្យាបាលជំងឺរលាកស្បែក, ហើមរឹង។","ການປິ່ນປົວຜິວຫນັງ, ໂພງແຂງ.",အရေပြားရောင်ရမ်းနာကုသမှု၊ မာကျောဖောင်းခြင်း။,治疗皮炎，硬质肿块。
รักษาตาปลา / หูด,A,Treat Fish Eye / Warts,ព្យាបាលភ្នែកត្រី / Warts,ປິ່ນປົວຕາປາ / ຫູດ,ငါးမျက်လုံးကို ကုသပါ,治疗鱼眼/疣
ลดบวม ฟกช้ำ,A,Reduce swelling and bruises,កាត់បន្ថយការហើម និងស្នាមរបួស,ຫລຸດຜ່ອນ ການ ພອງ ແລະ ບາດ ແຜ,ရောင်ရမ်းခြင်းနှင့် ဒဏ်ရာများကို လျော့နည်းစေပါ,减少肿胀和淤青
รักษาแผลในปาก,A,Treatment of mouth ulcers,ការព្យាបាលដំបៅមាត់,ການປິ່ນປົວຮອຍແຜໃນປາກ,ပါးစပ်အနာကို ကုသခြင်း,口腔溃疡的治疗
คลายกล้ามเนื้อ,A,Relax muscles,បន្ធូរសាច់ដុំ,ຜ່ອນຄາຍກ້າມເນື້ອ,ကြွက်သားများကို ဖြေလျှော့ပေးပါ,放松肌肉
แก้ปอดบวม,A,Relieve pneumonia,បំបាត់ជំងឺរលាកសួត,ບັນເທົາພະຍາດປອດອັກເສບ,အဆုတ်ရောင်ရောဂါကို သက်သာစေပါ,缓解肺炎
แก้ปวดประจำเดือน,A,Relieve menstrual cramps,បំបាត់ការរមួលរដូវ,ບັນເທົາຄວາມເຈັບປວດໃນໄລຍະປະຈໍາເດືອນ,ရာသီလာကျပ်ခြင်းကို သက်သာစေ,缓解经痛
ขับลม,A,Expel air,បណ្តេញខ្យល់ចេញ,ຂັບໄລ່ອາກາດ,လေကို ထုတ်ပစ်ပါ,排气
ฆ่าเชื้อรา,A,Fungicide,ថ្នាំសំលាប់ផ្សិត,ຢາຂ້າເຊື້ອເຫັດ,မှိုသတ်ဆေး,杀菌剂
ฆ่าเชื้อแบคทีเรีย,A,Bactericidal,បាក់តេរី,ຢາຂ້າບັກເຕເຣຍ,ဗက်တီးရီးယားသတ်ဆေး,杀菌剂
บำรุงสายตา,A,Eye care,ថែរក្សាភ្នែក,ການເບິ່ງແຍງຕາ,မျက်လုံးစောင့်ရှောက်မှု,眼科护理
กำจัดขี้หู,A,Earwax removal,ការដកចេញក្រចកត្រចៀក,ການກໍາຈັດຂີ້ເຫຍື້ອຫູ,နားဖြူဖယ်ရှားခြင်း,耳垢清除
เสริมธาตุเหล็ก,A,Iron Supplement,អាហារបំប៉នជាតិដែក,ເຫຼັກເພີ່ມເຕີມ,သံဖြည့်စွက်ဆေး,铁补充剂
ฆ่าเชื้อรา,A,Fungicide,ថ្នាំសំលាប់ផ្សិត,ຢາຂ້າເຊື້ອເຫັດ,မှိုသတ်ဆေး,杀菌剂
กำจัดขี้หู,A,Earwax removal,ការដកចេញក្រចកត្រចៀក,ການກໍາຈັດຂີ້ເຫຍື້ອຫູ,နားဖြူဖယ်ရှားခြင်း,耳垢清除
รักษางูสวัด,A,Treatment of shingles,ការព្យាបាលជំងឺរលាកសន្លាក់,ການປິ່ນປົວພະຍາດໄຂ້ຫວັດ,အနာကြီးရောဂါ ကုသမှု,带状疱疹的治疗
บรรเทาอาการตาแห้ง,A,Relieves dry eyes,បំបាត់ភ្នែកស្ងួត,ບັນເທົາຕາແຫ້ງ,မျက်လုံးခြောက်ခြင်းကို သက်သာစေ,缓解干眼症
เพิ่มจุลินทรีย์ในลำไส้,A,Increases the intestinal microflora.,បង្កើន microflora ពោះវៀន។,ເພີ່ມຈຸລິນຊີໃນลําไส้.,အူလမ်းကြောင်း အဏုဇီဝပိုးမွှားများကို တိုးများစေသည်။,增加肠道微生物群。
ลดไข้ บรรเทาอาการปวด,A,Reduce fever and relieve pain,កាត់បន្ថយគ្រុនក្តៅ និងបំបាត់ការឈឺចាប់,ລົດໄຂ້ແລະບັນເທົາຄວາມເຈັບປວດ,အဖျားလျော့နည်းစေပြီး နာကျင်မှုကို သက်သာစေပါ,退烧缓解疼痛
แก้ไอ,A,Cough relief,ការបំបាត់ក្អក,ບັນເທົາໄອ,ချောင်းဆိုးသက်သာခြင်း,止咳
แก้คลื่นไส้ อาเจียน,A,Relieves nausea and vomiting.,បំបាត់ចង្អោរ និងក្អួត។,ບັນເທົາອາການປ້ອງກັນແລະຮາກ.,အန်အန်ခြင်းတို့ကို သက်သာစေသည်။,缓解恶心和呕吐。
